rank,symbol,name,last_price,indices
60,APOLLOTYRE,Apollo Tyres Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Midcap 150|Nifty Total Market
61,APTUS,Aptus Value Housing Finance India Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Smallcap250 Quality 50|Nifty Total Market
62,ACI,Archean Chemical Industries Ltd.,,Nifty Microcap 250|Nifty Total Market
63,ARVINDFASN,Arvind Fashions Ltd.,,Nifty Microcap 250|Nifty Total Market
64,ARVIND,Arvind Ltd.,,Nifty Microcap 250|Nifty Total Market
65,ASAHIINDIA,Asahi India Glass Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 250|Nifty Total Market
66,ASHAPURMIN,Ashapura Minechem Ltd.,,Nifty Microcap 250|Nifty Total Market
67,ASHOKLEY,Ashok Leyland Ltd.,171.64,Nifty 200|Nifty 500|Nifty MidSmallcap 400|Nifty Midcap 100|Nifty Midcap 150|Nifty Midcap 50|Nifty Total Market
68,ASHOKA,Ashoka Buildcon Ltd.,,Nifty Microcap 250|Nifty Total Market
69,ASIANPAINT,Asian Paints Ltd.,2696.3,Nifty 100|Nifty 200|Nifty 50|Nifty 500|Nifty Total Market
70,ASTERDM,Aster DM Quality Care Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Smallcap 50|Nifty Total Market
71,ASTRAMICRO,Astra Microwave Products Ltd.,,Nifty Microcap 250|Nifty Total Market
72,ASTRAL,Astral Ltd.,1556.3,Nifty 200|Nifty 500|Nifty MidSmallcap 400|Nifty Midcap 100|Nifty Midcap 150|Nifty Total Market
73,ATHERENERG,Ather Energy Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Total Market
74,ATLANTAELE,Atlanta Electricals Ltd.,,Nifty Microcap 250|Nifty Total Market
75,ATUL,Atul Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 250|Nifty Total Market
76,AURIONPRO,Aurionpro Solution Ltd.,,Nifty Microcap 250|Nifty Total Market
77,AUROPHARMA,Aurobindo Pharma Ltd.,1622.1,Nifty 200|Nifty 500|Nifty MidSmallcap 400|Nifty Midcap 100|Nifty Midcap 150|Nifty Midcap 50|Nifty Total Market
78,AIIL,Authum Investment & Infrastructure Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Midcap 150|Nifty Total Market
79,AVALON,Avalon Technologies Ltd.,,Nifty Microcap 250|Nifty Total Market
80,AVANTIFEED,Avanti Feeds Ltd.,,Nifty Microcap 250|Nifty Total Market
81,DMART,Avenue Supermarts Ltd.,4060.0,Nifty 100|Nifty 200|Nifty 500|Nifty Next 50|Nifty Total Market
82,CCAVENUE,AvenuesAI Ltd.,,Nifty Microcap 250|Nifty Total Market
83,AWFIS,Awfis Space Solutions Ltd.,,Nifty Microcap 250|Nifty Total Market
84,AXISBANK,Axis Bank Ltd.,1217.4,Nifty 100|Nifty 200|Nifty 50|Nifty 500|Nifty Total Market
85,AZAD,Azad Engineering Ltd.,,Nifty Microcap 250|Nifty Total Market
86,BEML,BEML Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Smallcap250 Momentum Quality 100|Nifty Total Market
87,BLS,BLS International Services Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Smallcap250 Momentum Quality 100|Nifty Smallcap250 Quality 50|Nifty Total Market
88,BSE,BSE Ltd.,3447.0,Nifty 200|Nifty 500|Nifty MidSmallcap 400|Nifty Midcap 100|Nifty Midcap 150|Nifty Midcap 50|Nifty Total Market
89,BAJAJ-AUTO,Bajaj Auto Ltd.,11700.0,Nifty 100|Nifty 200|Nifty 50|Nifty 500|Nifty Total Market
90,BAJAJELEC,Bajaj Electricals Ltd,,Nifty Microcap 250|Nifty Total Market
91,BAJFINANCE,Bajaj Finance Ltd.,1087.0,Nifty 100|Nifty 200|Nifty 50|Nifty 500|Nifty Total Market
92,BAJAJFINSV,Bajaj Finserv Ltd.,2008.3,Nifty 100|Nifty 200|Nifty 50|Nifty 500|Nifty Total Market
93,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,11475.0,Nifty 100|Nifty 200|Nifty 500|Nifty Next 50|Nifty Total Market
94,BAJAJHFL,Bajaj Housing Finance Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Midcap 150|Nifty Total Market
95,BALAMINES,Balaji Amines Ltd.,,Nifty Microcap 250|Nifty Total Market
96,BALKRISIND,Balkrishna Industries Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Midcap 150|Nifty Total Market
97,BALRAMCHIN,Balrampur Chini Mills Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 250|Nifty Total Market
98,BALUFORGE,Balu Forge Industries Ltd.,,Nifty Microcap 250|Nifty Total Market
99,BANCOINDIA,Banco Products (India) Ltd.,,Nifty Microcap 250|Nifty Total Market
100,BANDHANBNK,Bandhan Bank Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Smallcap 50|Nifty Total Market
101,BANKBARODA,Bank of Baroda,248.22,Nifty 100|Nifty 200|Nifty 500|Nifty Next 50|Nifty Total Market
102,BANKINDIA,Bank of India,144.1,Nifty 200|Nifty 500|Nifty MidSmallcap 400|Nifty Midcap 100|Nifty Midcap 150|Nifty Total Market
103,MAHABANK,Bank of Maharashtra,,Nifty 500|Nifty MidSmallcap 400|Nifty Midcap 150|Nifty Total Market
104,BATAINDIA,Bata India Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 250|Nifty Total Market
105,BAYERCROP,Bayer Cropscience Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 250|Nifty Total Market
106,BELRISE,Belrise Industries Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 250|Nifty Total Market
107,BERGEPAINT,Berger Paints India Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Midcap 150|Nifty Total Market
108,BDL,Bharat Dynamics Ltd.,1398.0,Nifty 200|Nifty 500|Nifty MidSmallcap 400|Nifty Midcap 100|Nifty Midcap 150|Nifty Total Market
109,BEL,Bharat Electronics Ltd.,410.8,Nifty 100|Nifty 200|Nifty 50|Nifty 500|Nifty Total Market
110,BHARATFORG,Bharat Forge Ltd.,2065.0,Nifty 200|Nifty 500|Nifty MidSmallcap 400|Nifty Midcap 100|Nifty Midcap 150|Nifty Midcap 50|Nifty Total Market
111,BHEL,Bharat Heavy Electricals Ltd.,421.7,Nifty 200|Nifty 500|Nifty MidSmallcap 400|Nifty Midcap 100|Nifty Midcap 150|Nifty Midcap 50|Nifty Total Market
112,BPCL,Bharat Petroleum Corporation Ltd.,319.45,Nifty 100|Nifty 200|Nifty 500|Nifty Next 50|Nifty Total Market
113,BHARTIARTL,Bharti Airtel Ltd.,1992.1,Nifty 100|Nifty 200|Nifty 50|Nifty 500|Nifty Total Market
114,BHARTIHEXA,Bharti Hexacom Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Midcap 150|Nifty Total Market
115,BIKAJI,Bikaji Foods International Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 250|Nifty Total Market
116,GROWW,Billionbrains Garage Ventures Ltd.,196.17,Nifty 200|Nifty 500|Nifty MidSmallcap 400|Nifty Midcap 100|Nifty Midcap 150|Nifty Total Market
117,BIOCON,Biocon Ltd.,417.0,Nifty 200|Nifty 500|Nifty MidSmallcap 400|Nifty Midcap 100|Nifty Midcap 150|Nifty Total Market
118,BIRLACORPN,Birla Corporation Ltd.,,Nifty Microcap 250|Nifty Total Market
119,BSOFT,Birlasoft Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 250|Nifty Smallcap250 Momentum Quality 100|Nifty Smallcap250 Quality 50|Nifty Total Market
120,BBOX,Black Box Ltd.,,Nifty Microcap 250|Nifty Total Market
121,BLACKBUCK,Blackbuck Ltd.,,Nifty Microcap 250|Nifty Total Market
122,BLUEDART,Blue Dart Express Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 250|Nifty Total Market
123,BLUEJET,Blue Jet Healthcare Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 250|Nifty Total Market
124,BLUESTARCO,Blue Star Ltd.,1508.0,Nifty 200|Nifty 500|Nifty MidSmallcap 400|Nifty Midcap 100|Nifty Midcap 150|Nifty Total Market
125,BLUESTONE,BlueStone Jewellery and Lifestyle Ltd.,,Nifty Microcap 250|Nifty Total Market
126,BBTC,Bombay Burmah Trading Corporation Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 250|Nifty Total Market
127,BORORENEW,Borosil Renewables Ltd.,,Nifty Microcap 250|Nifty Total Market
128,BOSCHLTD,Bosch Ltd.,47100.0,Nifty 100|Nifty 200|Nifty 500|Nifty Next 50|Nifty Total Market
129,FIRSTCRY,Brainbees Solutions Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Total Market
130,BRIGADE,Brigade Enterprises Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Total Market
131,BRITANNIA,Britannia Industries Ltd.,5558.0,Nifty 100|Nifty 200|Nifty 500|Nifty Next 50|Nifty Total Market
132,MAPMYINDIA,C.E. Info Systems Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 250|Nifty Smallcap250 Momentum Quality 100|Nifty Smallcap250 Quality 50|Nifty Total Market
133,CCL,CCL Products (I) Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 250|Nifty Smallcap250 Momentum Quality 100|Nifty Total Market
134,CESC,CESC Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Smallcap 50|Nifty Total Market
135,CGPOWER,CG Power and Industrial Solutions Ltd.,890.15,Nifty 100|Nifty 200|Nifty 500|Nifty Next 50|Nifty Total Market
136,CIEINDIA,CIE Automotive India Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 250|Nifty Total Market
137,CMSINFO,CMS Info Systems Ltd.,,Nifty Microcap 250|Nifty Total Market
138,CORONA,CORONA Remedies Ltd.,,Nifty Microcap 250|Nifty Total Market
139,CRISIL,CRISIL Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Midcap 150|Nifty Total Market
140,CSBBANK,CSB Bank Ltd.,,Nifty Microcap 250|Nifty Total Market
141,CAMPUS,Campus Activewear Ltd.,,Nifty Microcap 250|Nifty Total Market
142,CANFINHOME,Can Fin Homes Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 250|Nifty Total Market
143,CANBK,Canara Bank,131.25,Nifty 100|Nifty 200|Nifty 500|Nifty Next 50|Nifty Total Market
144,CANHLIFE,Canara HSBC Life Insurance Company Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 250|Nifty Total Market
145,CRAMC,Canara Robeco Asset Management Company Ltd.,,Nifty Microcap 250|Nifty Total Market
146,CAPILLARY,Capillary Technologies India Ltd.,,Nifty Microcap 250|Nifty Total Market
147,CAPLIPOINT,Caplin Point Laboratories Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 250|Nifty Smallcap250 Momentum Quality 100|Nifty Total Market
148,CGCL,Capri Global Capital Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Smallcap250 Momentum Quality 100|Nifty Total Market
149,CARBORUNIV,Carborundum Universal Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 250|Nifty Total Market
150,CARTRADE,Cartrade Tech Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 250|Nifty Total Market
151,CASTROLIND,Castrol India Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Smallcap 50|Nifty Smallcap250 Momentum Quality 100|Nifty Smallcap250 Quality 50|Nifty Total Market
152,CEATLTD,Ceat Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 250|Nifty Smallcap250 Momentum Quality 100|Nifty Total Market
153,CELLO,Cello World Ltd.,,Nifty Microcap 250|Nifty Total Market
154,CEMPRO,Cemindia Projects Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 250|Nifty Smallcap250 Momentum Quality 100|Nifty Total Market
155,CENTRALBK,Central Bank of India,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 250|Nifty Total Market
156,CDSL,Central Depository Services (India) Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Smallcap 50|Nifty Smallcap250 Momentum Quality 100|Nifty Smallcap250 Quality 50|Nifty Total Market
157,CENTURYPLY,Century Plyboards (India) Ltd.,,Nifty Microcap 250|Nifty Total Market
158,CERA,Cera Sanitaryware Ltd,,Nifty Microcap 250|Nifty Total Market
159,CHALET,Chalet Hotels Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 250|Nifty Total Market
160,CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Smallcap250 Momentum Quality 100|Nifty Smallcap250 Quality 50|Nifty Total Market
161,CHENNPETRO,Chennai Petroleum Corporation Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 250|Nifty Smallcap250 Momentum Quality 100|Nifty Total Market
162,CHOICEIN,Choice International Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 250|Nifty Smallcap250 Momentum Quality 100|Nifty Total Market
163,CHOLAHLDNG,Cholamandalam Financial Holdings Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Smallcap 50|Nifty Total Market
164,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,1894.4,Nifty 100|Nifty 200|Nifty 500|Nifty Next 50|Nifty Total Market
165,CIPLA,Cipla Ltd.,1450.0,Nifty 100|Nifty 200|Nifty 50|Nifty 500|Nifty Total Market
166,CUB,City Union Bank Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Smallcap 50|Nifty Smallcap250 Momentum Quality 100|Nifty Total Market
167,CLEAN,Clean Science and Technology Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 250|Nifty Smallcap250 Quality 50|Nifty Total Market
168,COALINDIA,Coal India Ltd.,407.1,Nifty 100|Nifty 200|Nifty 50|Nifty 500|Nifty Total Market
169,COCHINSHIP,Cochin Shipyard Ltd.,1496.5,Nifty 200|Nifty 500|Nifty MidSmallcap 400|Nifty Midcap 100|Nifty Midcap 150|Nifty Total Market
170,COFORGE,Coforge Ltd.,1812.0,Nifty 200|Nifty 500|Nifty MidSmallcap 400|Nifty Midcap 100|Nifty Midcap 150|Nifty Midcap 50|Nifty Total Market
171,COHANCE,Cohance Lifesciences Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Smallcap 50|Nifty Total Market
172,COLPAL,Colgate Palmolive (India) Ltd.,1981.0,Nifty 200|Nifty 500|Nifty MidSmallcap 400|Nifty Midcap 100|Nifty Midcap 150|Nifty Midcap 50|Nifty Total Market
173,CAMS,Computer Age Management Services Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Smallcap 50|Nifty Smallcap250 Momentum Quality 100|Nifty Smallcap250 Quality 50|Nifty Total Market
174,CONCORDBIO,Concord Biotech Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 250|Nifty Total Market
175,CONCOR,Container Corporation of India Ltd.,527.0,Nifty 200|Nifty 500|Nifty MidSmallcap 400|Nifty Midcap 100|Nifty Midcap 150|Nifty Total Market
176,COROMANDEL,Coromandel International Ltd.,2095.3,Nifty 200|Nifty 500|Nifty MidSmallcap 400|Nifty Midcap 100|Nifty Midcap 150|Nifty Total Market
177,CRAFTSMAN,Craftsman Automation Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 250|Nifty Total Market
