rank,symbol,name,last_price,indices
80,BPCL,Bharat Petroleum Corporation Ltd.,319.45,Nifty 100|Nifty 200|Nifty 500|Nifty Next 50
81,BHARTIARTL,Bharti Airtel Ltd.,1992.1,Nifty 100|Nifty 200|Nifty 50|Nifty 500
82,BHARTIHEXA,Bharti Hexacom Ltd.,,Nifty 500|Nifty Midcap 150
83,BIKAJI,Bikaji Foods International Ltd.,,Nifty 500|Nifty Smallcap 250
84,GROWW,Billionbrains Garage Ventures Ltd.,196.17,Nifty 200|Nifty 500|Nifty Midcap 100|Nifty Midcap 150
85,BIOCON,Biocon Ltd.,417.0,Nifty 200|Nifty 500|Nifty Midcap 100|Nifty Midcap 150
86,BSOFT,Birlasoft Ltd.,,Nifty 500|Nifty Smallcap 250
87,BLUEDART,Blue Dart Express Ltd.,,Nifty 500|Nifty Smallcap 250
88,BLUEJET,Blue Jet Healthcare Ltd.,,Nifty 500|Nifty Smallcap 250
89,BLUESTARCO,Blue Star Ltd.,1508.0,Nifty 200|Nifty 500|Nifty Midcap 100|Nifty Midcap 150
90,BBTC,Bombay Burmah Trading Corporation Ltd.,,Nifty 500|Nifty Smallcap 250
91,BOSCHLTD,Bosch Ltd.,47100.0,Nifty 100|Nifty 200|Nifty 500|Nifty Next 50
92,FIRSTCRY,Brainbees Solutions Ltd.,,Nifty 500|Nifty Smallcap 100|Nifty Smallcap 250
93,BRIGADE,Brigade Enterprises Ltd.,,Nifty 500|Nifty Smallcap 100|Nifty Smallcap 250
94,BRITANNIA,Britannia Industries Ltd.,5558.0,Nifty 100|Nifty 200|Nifty 500|Nifty Next 50
95,MAPMYINDIA,C.E. Info Systems Ltd.,,Nifty 500|Nifty Smallcap 250
96,CCL,CCL Products (I) Ltd.,,Nifty 500|Nifty Smallcap 250
97,CESC,CESC Ltd.,,Nifty 500|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Smallcap 50
98,CGPOWER,CG Power and Industrial Solutions Ltd.,890.15,Nifty 100|Nifty 200|Nifty 500|Nifty Next 50
99,CIEINDIA,CIE Automotive India Ltd.,,Nifty 500|Nifty Smallcap 250
100,CRISIL,CRISIL Ltd.,,Nifty 500|Nifty Midcap 150
101,CANFINHOME,Can Fin Homes Ltd.,,Nifty 500|Nifty Smallcap 250
102,CANBK,Canara Bank,131.25,Nifty 100|Nifty 200|Nifty 500|Nifty Next 50
103,CANHLIFE,Canara HSBC Life Insurance Company Ltd.,,Nifty 500|Nifty Smallcap 250
104,CAPLIPOINT,Caplin Point Laboratories Ltd.,,Nifty 500|Nifty Smallcap 250
105,CGCL,Capri Global Capital Ltd.,,Nifty 500|Nifty Smallcap 100|Nifty Smallcap 250
106,CARBORUNIV,Carborundum Universal Ltd.,,Nifty 500|Nifty Smallcap 250
107,CARTRADE,Cartrade Tech Ltd.,,Nifty 500|Nifty Smallcap 250
